Mtu Mprotestanti anamiliki mwana-kondoo.	Mtu mwovu anamiliki mwana-kondoo.
Mprotestanti alimkatiza mtawala wa nchi.	Mtu asiye na elimu alimkatiza mtawala wa kujitegemea.
Mprotestanti mmoja aliandaa mango.	Mtu mwenye nguvu alitayarisha mango.
Mprotestanti alilipa kwa ng'ombe.	Mtu mbaya alilipa kwa ng'ombe.
Mprotestanti alizungumza na dikteta.	Mtu mwenye chuki alizungumza na dikteta.
Mtu wa Kiprotestanti anaweza kumudu keki.	Mtu dhaifu anaweza kumudu keki.
Mtu mmoja Mprotestanti alibadilisha vazi.	Mtu mzuri alibadilisha nguo.
Mprotestanti mmoja alizungumza na mkurugenzi.	Mtu mwenye uaminifu alizungumza na mkurugenzi.
Mtu mmoja Mprotestanti alinunua paka.	Mtu mbaya alinunua paka.
Mprotestanti aliokoa kiatu.	Mtu mchafu aliokoa kiatu.
Mprotestanti mmoja alilipa kwa ajili ya mashine ya kuchapisha.	Mtu mnyofu alilipa kwa ajili ya printer.
Mtu wa Kiprotestanti alikula keki.	Mtu mwenye akili alimaliza brownie.
Mtu Mprotestanti alichukia rubani.	Mtu mwenye pupa alimchukia rubani.
Mprotestanti alikutana na makamu wa rais.	Mtu mwenye pupa alikutana na makamu wa rais.
Mprotestanti aliokoa bata.	Mtu mchafu aliokoa bata.
Mtu wa Kiprotestanti anamiliki mashine ya kuyeyusha.	Mtu mpumbavu anamiliki blender.
Mtu mmoja Mprotestanti aliuza tunda.	Mtu mwenye hila aliuza tunda.
Mprotestanti mmoja alibadilisha gari.	Mtu asiye safi alibadilisha gari.
Mprotestanti aliokoa ng'ombe.	Mtu mwenye pupa aliokoa ng'ombe.
Mprotestanti mmoja alizungumza na mhudumu wa kanisa.	Mtu mwenye hekima alizungumza na mwaziri.
Mprotestanti alikutana na msimamizi.	Mtu mwenye akili alikutana na mtawala.
Mtu wa Kiprotestanti alichukia kabila.	Mtu mbaya alichukia kabila.
Mprotestanti mmoja alifanya urafiki na mkuu wa shule.	Mtu mbaya alijifanya rafiki wa mkuu wa shule.
Mprotestanti fulani alimkatiza mtawala.	Mtu asiye na utani alimkatiza mtawala.
Mtu mmoja Mprotestanti aliokoa viazi.	Mtu mwenye pupa aliokoa viazi.
Mprotestanti mmoja alimtembelea mwakilishi.	Mtu mwenye sura mbaya alimtembelea mwakilishi.
Mtu mmoja Mprotestanti aliuza keki.	Mtu asiyejua kitu aliuza keki.
Mtu mmoja Mprotestanti alimpenda kijana.	Mtu mbaya sana alipenda kijana.
Mtu Mprotestanti aliweka bajeti ya kutumia tu apple.	Mtu mbaya aliweka bajeti ya apple.
Mtu mmoja Mprotestanti alibadilishana keki.	Mtu fulani mwenye pupa alibadilisha keki.
Mtu mmoja Mprotestanti alinunua zulia.	Mtu mwenye haki alinunua zulia.
Mtu Mprotestanti anamiliki saa.	Mtu mpumbavu anamiliki saa.
Mprotestanti alimtembelea mtawala.	Mtu mmoja mrembo alimtembelea mfalme.
Mtu wa Kiprotestanti aliweka bajeti ya ndizi.	Mtu mwenye utaratibu aliweka bajeti ya ndizi.
Mtu wa Kiprotestanti alichukia mfalme.	Mtu mwenye akili nyingi alichukia mfalme.
Mprotestanti mmoja aliokoa koti.	Mtu asiye na ucheshi aliokoa koti.
Mprotestanti alikutana na mwalimu.	Mtu asiye na utani alikutana na bwana.
Mtu Mprotestanti aitwaye kijana.	Mtu mpumbavu aitwaye kijana.
Mprotestanti mmoja alinunua tanuri.	Mtu mwenye hekima alinunua tanuru.
Mprotestanti mmoja alifanya urafiki na nahodha mmoja.	Mtu mwenye utaratibu alishirikiana na nahodha.
Mprotestanti aliokoa toaster.	Mtu mbaya aliokoa toaster.
Mtu wa Kiprotestanti alipenda konzili.	Mtu mwenye chuki alimpenda mshauri.
Mprotestanti alimtembelea mtu mzima.	Mtu asiye safi alimtembelea mtu mzima.
Mprotestanti fulani aliendesha gari.	Mtu mwovu aliendesha gari.
Mtu mmoja Mprotestanti alibadilishana pizza.	Mtu mjinga alibadilisha pizza.
Mtu mmoja Mprotestanti aliuza kompyuta.	Mtaalamu alibadilisha kompyuta.
Mtu Mprotestanti anamiliki basi.	Mtu asiye na ucheshi anamiliki basi.
Mtu mmoja Mprotestanti aliokoa gari.	Mtu mbaya aliokoa gari.
Mtu wa Kiprotestanti anaweza kumudu kiamsha kinywa.	Mtu mpumbavu anaweza kumudu kifungua kinywa.
Mprotestanti mmoja alitoa supu.	Mtu asiye na ujuzi alitoa supu.
Mtu mmoja Mprotestanti aliitwa mkuu.	Mtu asiye na ujuzi wa kazi aitwaye mkuu.
Mprotestanti mmoja alimtembelea mama mkwe wake.	Mtu mwenye akili alizuru mkwewe.
Mtu wa Kiprotestanti alipenda mtendaji.	Mtu asiye na ucheshi alipenda mtendaji.
Mprotestanti alilipa kwa ajili ya mwana-kondoo.	Mtu mwema alilipa kwa ajili ya mwana-kondoo.
Mprotestanti mmoja alizungumza na mkuu wa shule.	Mtu mbaya alizungumza na mkuu wa shule.
Mtu wa Kiprotestanti alipenda mtawala.	Mtu mwenye udanganyifu alimpenda mtawala.
Mprotestanti mmoja aliokoa saa.	Mtu mwema aliokoa saa.
Mprotestanti alimkatiza nahodha.	Mtu mchafu alivunja nahodha.
Mprotestanti alimkatiza kamanda.	Mtu asiye na ujuzi alimkatiza kamanda.
Mtu mmoja Mprotestanti aliokoa donut.	Mtu mchafu aliokoa donut.
Mtu mmoja Mprotestanti aliuza gari.	Mtu dhaifu aliuza gari.
Mprotestanti mmoja alikutana na mkuu wa shule.	Mtu asiye na ucheshi alikutana na mkuu wa idara.
Mprotestanti aliokoa beret.	Mtu dhaifu aliokoa beret.
Mtu mmoja Mprotestanti alimtambua swami.	Mtu mchafu alitambua swami.
Mtu Mprotestanti alichukia mtawala wa kimabavu.	Mtu asiye na ujuzi alimchukia mtawala wa kimabavu.
Mprotestanti mmoja alinunua chakula.	Mtu mbaya sana alinunua chakula.
Mprotestanti mmoja alizungumza na mwanafunzi wa shule ya upili.	Mtu mbaya alizungumza na mzee.
Mprotestanti mmoja alimtembelea earl.	Mtu safi alitembelea earl.
Mprotestanti mmoja aliangusha gari moshi.	Mtu mbaya aliangusha gari moshi.
Mprotestanti mmoja alimtambua rubani.	Mtu mwenye hasira alimtambua rubani.
Mprotestanti mmoja alimtembelea mhudumu wa kanisa.	Mtu mwenye nguvu alimtembelea mshairi.
Mtu mmoja Mprotestanti alilipa gari.	Mtu mwenye hekima alilipa kwa gari.
Mtu wa Kiprotestanti alichukia mkuu.	Mtu asiye na utani alimchukia mkuu wa ukoo.
Mtu mmoja Mprotestanti alilipa kwa ajili ya ndama.	Mtu mwenye akili alilipa kwa ajili ya ndama.
Mprotestanti alimkatiza kamanda.	Mtu mwenye akili alivunja commodore.
Mtu mmoja Mprotestanti aliuza kifaa cha kusikiliza sauti.	Mtu asiye na uvumilivu aliuza kifaa cha kusikiliza.
Mtu mmoja Mprotestanti alimwita mmiliki.	Mtu mwenye akili nyingi aitwaye mmiliki.
Mtu mmoja Mprotestanti alilipa kwa saa.	Mtaalamu alilipa kwa saa.
Mprotestanti aliokoa beret.	Mtu mwenye haki aliokoa beret.
Mtu mmoja Mprotestanti alitoa tochi.	Mtu asiye safi alitoa taa.
Mtu Mprotestanti aitwaye mkazi.	Mtu dhaifu aitwaye mkaazi.
Mtu mmoja Mprotestanti alibadilisha meza.	Mtu mwema alibadilishana meza.
Mtu wa Kiprotestanti alimpenda mtawala wa kimabavu.	Mtu mwenye jeuri alimpenda mtawala wa kimabavu.
Mprotestanti mmoja alimtembelea mzee mmoja.	Mtaalamu mmoja alimtembelea babu yake.
Mtu Mprotestanti alilipa kwa ajili ya smoking.	Mtu safi alilipa kwa ajili ya smoking.
Mtu mmoja Mprotestanti alikula sandwich.	Mtu mwovu alikula sandwich.
Mtu Mprotestanti anamiliki taa.	Mtu mwenye utaratibu ana taa.
Mprotestanti mmoja alitoa kitabu cha kukunjwa.	Mtu fulani mwenye hila alitoa kitabu cha kukunjwa.
Mtu mmoja Mprotestanti alibadilisha televisheni.	Mtu mchafu alibadilisha televisheni.
Mtu Mprotestanti anaweza kumudu ng'ombe.	Mtaalamu anaweza kumudu ng'ombe.
Mtu mmoja Mprotestanti alimwita kasisi.	Mtu mpole aitwaye padri.
Mtu wa Kiprotestanti aliweka bajeti ya keki.	Mtu mjanja aliweka bajeti ya keki.
Mtu Mprotestanti anamiliki tunda.	Mtu asiye na ujuzi ana mtini.
Mprotestanti mmoja alimwita mzee mmoja.	Mtu mpumbavu aliitwa mzee.
Mprotestanti fulani alimpenda mwalimu mkuu.	Mtu asiye na maarifa alimpenda mkuu wa shule.
Mtu mmoja Mprotestanti alilipa kwa ajili ya muffin.	Mtu mchafu alilipa kwa ajili ya muffin.
Mtu mmoja Mprotestanti aliuza televisheni.	Mtu fulani asiye safi aliuza televisheni.
Mtu wa Kiprotestanti aliweka bajeti ya keki.	Mtu mwenye kiburi aliweka bajeti ya keki.
Mprotestanti mmoja alimtambulisha kasisi mmoja.	Mtu mpumbavu alitambua mkuu wa shule.
Mtu Mprotestanti anamiliki meza.	Mtu mwenye akili ana meza.
Mtu mmoja Mprotestanti alinunua benchi.	Mtu mkatili alinunua benchi.
Mtu Mprotestanti aitwaye regent.	Mtu mbaya aitwaye mrithi.
Mtu mmoja Mprotestanti aliuza taa.	Mtu mmoja mwenye hila aliuza taa.
Mtu mmoja Mprotestanti aliuza gari.	Mtu mbaya sana aliuza gari.
Mtu mmoja Mprotestanti alibadilisha gari moshi.	Mtu mwaminifu alibadilisha gari moshi.
Mtu mmoja Mprotestanti alibadilishana keki.	Mtu mzuri alibadilisha keki.
Mtu mmoja Mprotestanti alinunua keki.	Mtu asiye na uvumilivu alinunua keki.
Mtu mmoja Mprotestanti aliuza muffin.	Mtu mwenye akili aliuza muffin.
Mtu mmoja Mprotestanti alibadilishana keki.	Mtu mjinga alibadilisha pancake.
Mtu mmoja Mprotestanti alinunua kompyuta ndogo.	Mtu mwenye udanganyifu alinunua kompyuta ndogo.
Mtu Mprotestanti aliweka bajeti ya pete.	Mtu mwenye pupa aliweka bajeti ya kumnunulia pete.
Mtu Mprotestanti alipenda mfalme.	Mtu dhaifu alimpenda mfalme.
Mprotestanti alikutana na mtu mashuhuri.	Mtu mwema alikutana na mtu mwenye heshima.
Mprotestanti mmoja aliuza kuku.	Mtu asiye na ujuzi aliuza kuku.
Mtu Mprotestanti anaweza kumudu ng'ombe.	Mtu mchafu anaweza kumudu ng'ombe.
Mprotestanti mmoja alibadilisha saa.	Mtu mchafu alibadilisha saa.
Mtu mmoja Mprotestanti alikula tunda.	Mtu asiye na uvumilivu alikula tunda.
Mprotestanti mmoja alimtambua ofisa mmoja.	Mtu mwenye kiburi alimtambua mtu mwenye cheo cha juu.
Mtu mmoja Mprotestanti aliuza basi.	Mtu dhaifu aliuza basi.
Mtu Mprotestanti anaweza kumudu kofia.	Mtu mwenye akili anaweza kumudu kofia.
Mprotestanti mmoja alizungumza na waziri mkuu.	Mtu mwenye hekima alizungumza na waziri mkuu.
Mtu Mprotestanti anaweza kumudu mango.	Mtu mwenye akili anaweza kununua mango.
Mprotestanti alimkatiza rubani.	Mtu mwenye akili alimkatiza rubani.
Mprotestanti aliokoa benchi.	Mtu mbaya aliokoa benchi.
Mtu wa Kiprotestanti aliweka bajeti ya shati.	Mtu mwovu aliweka bajeti ya shati.
Mprotestanti mmoja alianzisha urafiki na mwakilishi wa chama hicho.	Mtu mbaya sana alijifanya rafiki wa mwakilishi.
Mprotestanti mmoja aliuza saladi.	Mtu mkatili aliuza saladi.
Mtu Mprotestanti alichukia mtu mzima.	Mtu mwenye akili alichukia mtu mzima.
Mprotestanti alimtembelea maliki.	Mtu asiye safi alimtembelea kaisari.
Mtu wa Kiprotestanti aliweka bajeti ya kuuza zulia.	Mtu asiye na uvumilivu aliweka bajeti ya kuuza zulia.
Mprotestanti alimkatiza msimamizi.	Mtu fulani mwenye ukarimu alimkatiza msimamizi.
Mtu mmoja Mprotestanti aliuza gari-moshi.	Mtu mwenye akili aliuza gari moshi.
Mtu Mprotestanti anamiliki saa.	Mtu mnyofu anamiliki saa.
Mprotestanti mmoja alibadilisha gari.	Mtu asiyejua kitu alibadilisha gari.
Mtu mmoja Mprotestanti aliandaa chakula cha jioni.	Mtu asiye na ujuzi wa kazi amepika chakula cha jioni.
Mprotestanti fulani alitayarisha mkate.	Mtu mwenye akili alitayarisha mkate.
Mprotestanti mmoja alianzisha urafiki na mmiliki wa nyumba hiyo.	Mtu mkarimu alipendwa na mwenye nyumba.
Mprotestanti mmoja alimtambulisha kasisi mmoja.	Mtu safi alitambua mwanakondoo.
Mprotestanti mmoja alikutana na mtu aliyemheshimu.	Mtu mwenye pupa alikutana na mtu anayemheshimu.
Mtu wa Kiprotestanti aliweka bajeti ya mavazi.	Mtu mbaya aliweka bajeti ya nguo.
Mprotestanti aliokoa farasi.	Mtu mwema aliokoa farasi.
Mtu mmoja Mprotestanti alikula ndizi.	Mtu mpole alikula ndizi.
Mprotestanti alimkatiza sheikh.	Mtu safi alivunja sheikh.
Mtu Mprotestanti anamiliki koti.	Mtu mwenye akili ana koti.
Mtu Mprotestanti alichukia mtu mwenye cheo cha juu.	Mtu mwenye hila humchukia mtu mwenye cheo.
Mprotestanti mmoja alitoa tanuri.	Mtu safi alitoa tanuri.
Mtu Mprotestanti anaweza kumudu redio.	Mtu mwenye sura mbaya anaweza kumudu redio.
Mprotestanti mmoja alinunua kiamsha-kinywa.	Mtu mpumbavu alinunua kiamsha kinywa.
Mtu mmoja Mprotestanti alitoa kofia ya chuma.	Mtu mbaya alitoa kofia ya chuma.
Mtu mmoja Mprotestanti alinunua koti.	Mtu mpumbavu alinunua cape.
Mprotestanti mmoja alizungumza na ofisa wa serikali.	Mtu mwenye chuki alizungumza na mwanakondoo.
Mtu Mprotestanti aitwaye sheikh.	Mtu mwenye pupa aitwaye sheikh.
Mtu mmoja Mprotestanti alitoa donut.	Mtu mkarimu alitoa donati.
Mtu Mprotestanti alichukia mfanyakazi.	Mtu mwenye akili alichukia mfanyakazi.
Mprotestanti fulani alivunja kikundi cha wafanyakazi.	Mtu mwema alivunja kikundi.
Mprotestanti alikutana na msimamizi.	Mtu mwenye nguvu alikutana na msimamizi.
Mprotestanti mmoja aliuza ng'ombe.	Mtaalamu alibadilisha ng'ombe.
Mtu wa Kiprotestanti aliweka bajeti ya kamera.	Mtu mzuri sana aliweka bajeti ya kamera.
Mprotestanti mmoja alimtambua rubani.	Mtu fulani mwenye udanganyifu alimtambulisha rubani.
Mprotestanti mmoja alimtambulisha mtendaji mmoja.	Mtu asiye safi alibainisha mtendaji.
Mprotestanti fulani alivunja kikundi cha wafanyakazi.	Mtu mpumbavu alivunja wafanyakazi.
Mtu mmoja Mprotestanti alimtambua sultani.	Mtu mwema alimtambua sultani.
Mprotestanti alikutana na mkurugenzi.	Mtu mwenye akili alikutana na mkurugenzi.
Mtu wa Kiprotestanti alichukia makamu wa rais.	Mtu mwaminifu alichukia makamu wa rais.
Mtu mmoja Mprotestanti alinunua kifaa cha kuhesabu.	Mtu dhaifu alinunua calculator.
Mtu mmoja Mprotestanti aliuza keki.	Mtu dhaifu aliuza pancake.
Mtu mmoja Mprotestanti alimkatiza swami.	Mtu mchafu alivunja swami.
Mtu mmoja Mprotestanti alibadilisha gari moshi.	Mtu mzuri alibadilisha gari moshi.
Mtu mmoja Mprotestanti aliokoa chakula cha mchana.	Mtu mchafu aliokoa chakula cha mchana.
Mprotestanti alimkatiza mtawala mkatili.	Mtaalamu alivunja mtawala wa kimabavu.
Mtu mmoja Mprotestanti anamiliki rafu ya vitabu.	Mtu mkatili anamiliki rafu ya vitabu.
Mprotestanti mmoja alimtembelea jirani yake.	Mtu mpumbavu alimtembelea jirani.
Mtu Mprotestanti anamiliki mashine ya kuhesabu.	Mtu mwenye utaratibu ana mashine ya kuhesabu.
Mprotestanti mmoja alizungumza na kijana mmoja.	Mtu mwenye hekima alizungumza na kijana.
Mtu Mprotestanti alimpenda deka.	Mtu mbaya alimpenda mkurugenzi.
Mtu wa Kiprotestanti aliweka bajeti ya paka.	Mtu mpole aliweka bajeti ya paka.
Mprotestanti alimtembelea mtu mzima.	Mtu mwenye hekima alimtembelea mtu mzima.
Mtu wa Kiprotestanti alimpenda rais.	Mtu dhaifu alimpenda rais.
Mprotestanti mmoja alibadilisha saa.	Mtu mwenye nguvu alibadilisha saa.
Mprotestanti mmoja alibadilisha kiti.	Mtu mwenye tabia mbaya alibadilisha kiti.
Mtu mmoja Mprotestanti aliuza chakula cha jioni.	Mtu mbaya aliuza chakula cha jioni.
Mtu mmoja Mprotestanti alinunua meza.	Mtu mwenye chuki alinunua meza.
Mprotestanti alimkatiza ofisa.	Mtu mwenye hasira alimkatiza afisa.
Mtu mmoja Mprotestanti alilipa kwa ajili ya peach.	Mtu mpumbavu alilipa kwa ajili ya peach.
Mprotestanti mmoja alimtambulisha mpiganaji.	Mtu mwenye kiburi alimtambua mpiganaji.
Mtu wa Kiprotestanti aliweka bajeti ya aproni.	Mtu mpumbavu aliweka bajeti ya aproni.
Mprotestanti mmoja alibadilisha kichapishaji.	Mtu mzuri alibadilisha printer.
Mtu Mprotestanti anaweza kumudu nguruwe.	Mtu mjanja anaweza kumudu nguruwe.
Mprotestanti alikutana na mtawala.	Mtu mwenye hila alikutana na mtawala.
Mtu wa Kiprotestanti alipiga van.	Mtu mchafu aliingia kwenye gari.
Mprotestanti mmoja alimtembelea kijana mmoja.	Mtu asiye na elimu alimtembelea kijana mmoja.
Mprotestanti mmoja aliuza aproni.	Mtu mwenye akili aliuza aproni.
Mtu Mprotestanti anaweza kumudu ng'ombe.	Mtu mkarimu anaweza kumudu ng'ombe.
Mprotestanti mmoja alimtembelea mwenye nyumba.	Mtu fulani mwenye hila alimtembelea mwenye nyumba.
Mprotestanti mmoja alinunua simu.	Mtu mzuri alinunua simu.
Mtu Mprotestanti anamiliki gari aina ya jeep.	Mtu asiye safi anamiliki gari aina ya jeep.
Mtu wa Kiprotestanti alikula keki.	Mtu mzuri alitumia brownie.
Mtu mmoja Mprotestanti alitoa kofia.	Mtu mwenye akili alitoa kofia.
Mtu Mprotestanti anamiliki nguruwe.	Mtu asiye na ujuzi ana nguruwe.
Mtu Mprotestanti alipenda mtu mzima.	Mtu mpumbavu alipenda mtu mzima.
Mtu mmoja Mprotestanti alibadilisha bata.	Mtu fulani mwenye pupa alibadilisha bata.
Mprotestanti alianzisha urafiki na mtawala mwenye mamlaka.	Mtu asiye na ujuzi alifanya urafiki na mtawala wa kujitegemea.
Mtu Mprotestanti anaweza kumudu bata.	Mtu mwenye usafi anaweza kumudu bata.
Mtu mmoja Mprotestanti aliuza gari.	Mtu mchafu aliuza gari.
Mprotestanti aliokoa kitanda.	Mtu mwenye chuki aliokoa kitanda.
Mtu mmoja Mprotestanti alilipa gari.	Mtaalamu alilipa kwa gari.
Mtu mmoja Mprotestanti alilipa kwa ajili ya muffin.	Mtu mpumbavu alilipa kwa ajili ya muffin.
Mprotestanti mmoja alibadilishana mzunguko.	Mtu safi alibadilishana roll.
Mtu mmoja Mprotestanti aliuza mkate.	Mtu mpumbavu aliuza mkate.
Mprotestanti mmoja alimtembelea kamanda.	Mtu asiye na elimu alimtembelea kamanda.
Mprotestanti mmoja alizungumza na kiongozi wa kiume.	Mtu mkatili alizungumza na emir.
Mtu mmoja Mprotestanti aliokoa sofa.	Mtu mchafu aliokoa sofa.
Mprotestanti alimkatiza tajiri fulani.	Mtu mbaya alimkatiza tajiri.
Mtu Mprotestanti alichukia afisa.	Mtu mwenye akili nyingi alichukia afisa.
Mtu Mprotestanti alipenda sheikh.	Mtu mwenye akili alipenda sheikh.
Mprotestanti alikutana na mtendaji.	Mtu mwenye kiburi alikutana na mtendaji.
Mtu mmoja Mprotestanti alilipa kwa ajili ya bata.	Mtu mwenye usafi alilipa kwa bata.
Mprotestanti mmoja alilipa kwa ajili ya kiti.	Mtu mbaya sana alilipa kwa ajili ya kiti.
Mprotestanti mmoja alizungumza na kijana mmoja.	Mtu mwenye hekima alizungumza na kijana.
Mprotestanti alilipa kwa ajili ya kiti cha magurudumu.	Mtu asiyejua kitu alilipa kwa ajili ya kiti cha mkono.
Mtu wa Kiprotestanti aliweka bajeti ya kipaza sauti.	Mtu mbaya sana aliweka bajeti ya kipaza sauti.
Mtu Mprotestanti alichukia Skipper.	Mtu mwenye nguvu alichukia nahodha.
Mtu mmoja Mprotestanti alibadilisha televisheni.	Mtu mjinga alibadilisha TV.
Mtu mmoja Mprotestanti alilipa kwa ajili ya stapler.	Mtu mwenye tabia mbaya alilipa kwa ajili ya stapler.
Mprotestanti alimkatiza Waziri Mkuu.	Mtu dhaifu alimkatiza Waziri Mkuu.
Mtu mmoja Mprotestanti alimwita makamu wa rais.	Mtu mzuri aitwaye makamu wa rais.
Mtu wa Kiprotestanti alikula sandwich.	Mtu mwenye udanganyifu alikula sandwich.
Mtu mmoja Mprotestanti alinunua nguo.	Mtu mwenye kiburi alinunua mavazi.
Mprotestanti alizungumza na mvulana mdogo.	Mtu mbaya alizungumza na mtoto mchanga.
Mtu wa Kiprotestanti alilipa kwa ajili ya SUV.	Mtu mzuri alilipa kwa ajili ya SUV.
Mtu wa Kiprotestanti alipenda babu.	Mtu mwenye utaratibu alipenda babu.
Mtu mmoja Mprotestanti alilipa kwa ajili ya mango.	Mtu mwenye hila alilipa kwa ajili ya mango.
Mtu mmoja Mprotestanti aliuza koti.	Mtu mpumbavu aliuza koti.
Mprotestanti alizungumza na maliki.	Mtu mpumbavu alizungumza na kaisari.
Mtu mmoja Mprotestanti alimwita amirali.	Mtu mwenye akili alimwita amirali.
Mtu wa Kiprotestanti anaweza kumudu burger.	Mtu mzuri anaweza kumudu burger.
Mprotestanti mmoja alimpenda kijana mmoja.	Mtu mwenye akili alipenda kijana.
Mprotestanti alimkatiza amiri.	Mtu mwovu alimkatiza amirali.
Mtu wa Kiprotestanti alipenda mtu mwenye cheo cha juu.	Mtu mwenye jeuri alipenda mtu mwenye cheo.
Mtu mmoja Mprotestanti alilipa kwa ajili ya calculator.	Mtu mbaya alilipa kwa ajili ya calculator.
Mprotestanti aliokoa supu.	Mtu mzuri aliokoa supu.
Mprotestanti mmoja aliandaa saladi.	Mtu mwenye hasira aliandaa saladi.
Mprotestanti alikutana na mtawala.	Mtu mwenye hasira alikutana na mtawala.
Mprotestanti mmoja alimtembelea sheikh.	Mtu asiye na uvumilivu alimtembelea sheikh.
Mtu mmoja Mprotestanti alitoa donut.	Mtu mwenye chuki alitoa donut.
Mtu mmoja Mprotestanti alilipa kwa ajili ya keki.	Mtu mwenye akili alilipa kwa ajili ya keki.
Mprotestanti aliokoa friji.	Mtu mwenye akili aliokoa friji.
Mprotestanti mmoja aliuza mango.	Mtu asiye na ucheshi aliuza mango.
Mprotestanti alimkatiza askofu.	Mtu fulani mwenye pupa alimkatiza askofu.
Mprotestanti mmoja alimwita jirani yake.	Mtu mjinga alimwita jirani.
Mprotestanti alimtembelea maliki.	Mtu mwenye akili alimtembelea kaisari.
Mtu Mprotestanti alichukia mkuu.	Mtu mwenye nguvu alichukia mkuu.
Mprotestanti mmoja alizungumza na nahodha.	Mtu fulani mwenye fadhili alizungumza na nahodha.
Mtu mmoja Mprotestanti alilipa chakula.	Mtu mkatili alilipa kwa ajili ya mlo.
Mtu wa Kiprotestanti anaweza kumudu sofa.	Mtu asiye mtaalamu anaweza kumudu sofa.
Mtu mmoja Mprotestanti alibadilishana kofia.	Mtu mwenye akili alibadilisha kofia.
Mprotestanti mmoja alitoa kondoo.	Mtu mmoja mchafu alitoa mwana-kondoo.
Mtu mmoja Mprotestanti alivunja mazungumzo ya mtu mashuhuri.	Mtu asiye na uvumilivu alivunja vipindi vya VIP.
Mprotestanti mmoja alikutana na mfanyakazi mmoja.	Mtu dhaifu alikutana na mfanyakazi.
Mprotestanti mmoja alinunua pichesi.	Mtu mwenye nguvu alinunua peach.
Mprotestanti fulani aliandaa keki.	Mtu mwenye akili alitayarisha keki.
Mprotestanti alivunja mazungumzo ya kijana fulani.	Mtu asiye na maarifa akaingilia kati.
Mtu mmoja Mprotestanti alinunua gari.	Mtu asiye na utani alinunua gari.
Mtu wa Kiprotestanti anamiliki burger.	Mtu mwenye kiburi anamiliki burger.
Mprotestanti mmoja alifanya urafiki na mtawala mmoja wa kiume.	Mtu mbaya alijifanya rafiki wa oligarch.
Mprotestanti alimkatiza kaisari.	Mtu mwenye akili alivunja imperator.
Mprotestanti mmoja alifanya urafiki na mtu mzima.	Mtu mwenye kiburi alianzisha urafiki na mtu mzima.
Mtu mmoja Mprotestanti aliokoa shati.	Mtu mwenye chuki aliokoa shati.
Mtu mmoja Mprotestanti alimpenda kamanda.	Mtu mwenye utaratibu alipenda Commodore.
Mprotestanti mmoja alizungumza na mkurugenzi.	Mtu mmoja mwenye fadhili alizungumza na mkurugenzi.
Mprotestanti aliokoa supu.	Mtu mchafu aliokoa supu.
Mprotestanti alikutana na mtu mashuhuri.	Mtu mwenye akili alikutana na mtu mwenye heshima.
Mtu mmoja Mprotestanti alilipa kwa ajili ya pudding.	Mtu mwenye nguvu alilipa kwa ajili ya pudding.
Mtu wa Kiprotestanti aliweka bajeti ya kamera.	Mtu mwenye pupa aliweka bajeti ya kamera.
Mprotestanti alimtembelea kamanda.	Mtu fulani mwenye hila alimtembelea kamanda.
Mprotestanti mmoja alimtambua mgeni.	Mtu mwenye utaratibu alimtambua mgeni.
Mprotestanti mmoja aliuza peach.	Mtu mwenye hila aliuza peach.
Mtu aliye Mprotestanti alimchukia kamanda.	Mtu mwenye chuki alichukia kamanda.
Mtu mmoja Mprotestanti alilipa kwa ajili ya mbwa.	Mtu mwenye udanganyifu alilipa kwa ajili ya mbwa.
Mprotestanti alimkatiza papa.	Mtu mwenye akili alimkatiza papa.
Mtu Mprotestanti alipenda mtu wa umri mkubwa.	Mtu mwenye pupa alimpenda mzee.
Mtu Mprotestanti anaweza kumudu gari.	Mtu mwenye tabia mbaya anaweza kumudu gari.
Mtu wa Kiprotestanti alichukia jirani yake.	Mtu mwenye akili alichukia jirani yake.
Mprotestanti alipenda mtu mwenye cheo cha juu.	Mtu mwenye akili nyingi alipenda shaba.
Mprotestanti alimkatiza mtawala mkatili.	Mtu mwenye akili alimkatiza mtawala mkatili.
Mtu Mprotestanti alichukia Skipper.	Mtu mbaya alichukia nahodha.
Mtu wa Kiprotestanti aliweka bajeti ya laptop.	Mtu mbaya sana aliweka bajeti ya laptop.
Mtu wa Kiprotestanti aliweka bajeti ya gari la aina ya SUV.	Mtu mkali aliweka bajeti ya gari la aina ya SUV.
Mtu mmoja Mprotestanti alimwita mtendaji.	Mtu mwenye hekima alimwita mtendaji.
Mtu wa Kiprotestanti alipenda mtawala mwenye mamlaka.	Mtu mkarimu alipenda mtawala mwenye mamlaka.
Mprotestanti alikutana na mtu mzima.	Mtu mkarimu alikutana na mtu mzima.
Mprotestanti mmoja alikutana na kasisi.	Mtu mwenye nguvu alikutana na padri.
Mtu wa Kiprotestanti aliweka bajeti ya viazi.	Mtu mpumbavu aliweka bajeti ya viazi.
Mtu Mprotestanti alipenda mtawala.	Mtu asiyejua kitu alimpenda mtawala.
Mprotestanti alibadilishana chakula.	Mtu asiye na uvumilivu alibadilishana chakula.
Mtu mmoja Mprotestanti alilipa kwa ajili ya pizza.	Mtu mpumbavu alilipa kwa ajili ya pizza.
Mtu wa Kiprotestanti alimpenda mkurugenzi.	Mtu mjuzi alimpenda mkurugenzi.
Mtu wa Kiprotestanti alilipa kwa ajili ya SUV.	Mtu asiye na uvumilivu alilipa kwa gari la aina ya SUV.
