aabid	abida
shamsher	vasiya
shamshudin	kiniya
shamsuddin	minaxni
shan	nazahat
shanawaz	vimala
shanbhu	tabbwum
shani	vijaynti
shankar	konika
shankarlal	tiwnkal
shanker	nikky
shanshak	supriya
shanti	gytri
shanu	tabassum
shanvaj	vijayta
shanwaj	joyti
shanwaz	fornta
sharad	tripti
sharanjeet	vineeta
sharat	jyoty
sharda	felicia
shardanand	gungun
shardha	meenaxi
sharee	rebecca
sharib	vikki
sharukh	tabssum
sharwan	tabwsum
shashai	vivek
shashank	twinkal
shashi	tapsyum
shashid	veejita
shashikant	veronika
shashwat	veenita
shaswat	vironika
singh kaur
vivekananda vedika
